trip date,DCSM NAME,Route,Vehicle No,Activity Time For Weight Out,Activity Time For  Weight In
20-08-15,Maheshwari Tpt Service,22301,DL1LS6045,08:07:51,19:00:00
20-08-15,SATLUJ GOODS CARRIERS,22314,DL1LP8036,08:07:51,19:00:00
20-08-15,SHRI JAI GURUDEV TRANSPORT SER,22316,DL1M5465,08:07:51,19:00:00
20-08-15,SHRI JAI GURUDEV TRANSPORT SER,22318,DL1M5480,08:07:51,19:00:00
20-08-15,SHRI JAI GURUDEV TRANSPORT SER,22322,DL1M5194,08:07:51,19:00:00
20-08-15,SHRI JAI GURUDEV TRANSPORT SER,22325,DL1M5163,08:07:51,19:00:00
20-08-15,NEO HOSPITALITIES,22332,DL1LM1328,08:07:51,19:00:00
20-08-15,Maheshwari Tpt Service,22410,DL1LG5924,08:07:51,19:00:00
20-08-15,Pooja Tpt Service,22412,DL1LK3795,08:07:51,19:00:00
20-08-15,NEO HOSPITALITIES,22423,DL1M4482,08:07:51,19:00:00
20-08-15,NEO HOSPITALITIES,22425,DL1LP8279,08:07:51,19:00:00
20-08-15,AASTHA LOGISTICS PVT. LTD.,22509,DL1M5396,08:07:51,19:00:00
20-08-15,MANOJ KUMAR,29003,DL1LV9450,00:20:45,19:00:00
20-08-15,Vansh Enterprises,28002,DL1GC2650,05:12:19,19:00:00
20-08-15,Jai Maa Enterprises,29013,DL1M5211,05:29:46,19:00:00
20-08-15,Vansh Enterprises,28007,DL1GC0179,05:34:44,19:00:00
20-08-15,Jai Maa Enterprises,29012,DL1M5174,05:42:40,19:00:00
20-08-15,Jai Maa Enterprises,28003,DL1M7218,05:48:09,19:00:00
20-08-15,Jai Maa Enterprises,28018,DL1GC1904,05:52:34,19:00:00
20-08-15,Vansh Enterprises,28004,DL1M4395,05:56:41,19:00:00
20-08-15,Durga Tpt Co,28017,DL1M6328,06:01:38,19:00:00
20-08-15,MANOJ KUMAR,29002,DL1LP6173,06:05:28,19:00:00
20-08-15,Vansh Enterprises,28008,DL1GC0167,06:13:22,19:00:00
20-08-15,MANOJ KUMAR,29001,DL1LR5067,06:16:06,19:00:00
20-08-15,Durga Tpt Co,28010,DL1M4303,06:19:24,19:00:00
20-08-15,Durga Tpt Co,28016,DL1M6971,06:23:14,19:00:00
20-08-15,Vansh Enterprises,28001,DL1GC2696,06:27:19,19:00:00
20-08-15,Maheshwari Tpt Service,22405,DL1LG6583,06:27:41,19:00:00
20-08-15,Jai Maa Enterprises,28019,DL1M4116,06:30:29,19:00:00
20-08-15,Durga Tpt Co,28009,DL1M6301,06:34:47,19:00:00
20-08-15,SATLUJ GOODS CARRIERS,22311,DL1LP9466,06:35:18,19:00:00
20-08-15,SATLUJ GOODS CARRIERS,22330,DL1LP8218,06:39:21,19:00:00
20-08-15,Vinayak Tanker Service,28011,DL1M6348,06:40:11,19:00:00
20-08-15,Maheshwari Tpt Service,22419,DL1LG4886,06:42:21,19:00:00
20-08-15,Vansh Enterprises,28006,DL1GC2637,06:43:15,19:00:00
20-08-15,Maheshwari Tpt Service,22409,DL1LS7035,06:44:02,19:00:00
20-08-15,KALKA TRANSPORT SERVICE,22506,DL1M6363,06:45:42,19:00:00
20-08-15,NEO HOSPITALITIES,22432,DL1M4466,06:46:34,19:00:00
20-08-15,Maheshwari Tpt Service,22417,DL1LS6035,06:48:12,19:00:00
20-08-15,Vansh Enterprises,28005,DL1M4074,06:48:16,19:00:00
20-08-15,AASTHA LOGISTICS PVT. LTD.,22504,DL1M5395,06:50:26,19:00:00
20-08-15,Maheshwari Tpt Service,22415,DL1LG6692,06:50:34,19:00:00
20-08-15,Jai Maa Enterprises,28014,DL1M7509,06:52:15,19:00:00
20-08-15,SANJAY SHARMA,22347,DL1LM4484,06:54:25,19:00:00
20-08-15,SHRI JAI GURUDEV TRANSPORT SER,22326,DL1M5153,06:56:51,19:00:00
20-08-15,JEET TRANSPORT COMPANY,22320,DL1LP6217,06:58:16,19:00:00
20-08-15,Durga Tpt Co,22508,DL1M4302,06:59:06,19:00:00
20-08-15,Maheshwari Tpt Service,22414,DL1LG5925,06:59:43,19:00:00
20-08-15,Maheshwari Tpt Service,22401,DL1LS5915,07:00:51,19:00:00
20-08-15,SHRI JAI GURUDEV TRANSPORT SER,22324,DL1M5164,07:03:14,19:00:00
20-08-15,SHRI JAI GURUDEV TRANSPORT SER,22421,DL1LK0303,07:04:59,19:00:00
20-08-15,KALKA TRANSPORT SERVICE,22507,DL1M6365,07:05:07,19:00:00
20-08-15,Jai Maa Enterprises,29011,DL1M5184,07:05:58,19:00:00
20-08-15,Pooja Tpt Service,22430,DL1LK3892,07:06:25,19:00:00
20-08-15,NEO HOSPITALITIES,22313,DL1LK9908,07:08:40,19:00:00
20-08-15,Jai Maa Enterprises,28013,DL1M7290,07:09:30,19:00:00
20-08-15,SHRI JAI GURUDEV TRANSPORT SER,22331,DL1M5177,07:10:20,19:00:00
20-08-15,SHRI JAI GURUDEV TRANSPORT SER,22323,DL1M5457,07:11:48,19:00:00
20-08-15,AASTHA LOGISTICS PVT. LTD.,22503,DL1M5394,07:13:23,19:00:00
20-08-15,Pooja Tpt Service,22406,DL1LG6605,07:14:02,19:00:00
20-08-15,Durga Tpt Co,28012,DL1M6300,07:14:23,19:00:00
20-08-15,SANJAY SHARMA,22428,DL1LP4464,07:15:26,19:00:00
20-08-15,SHRI JAI GURUDEV TRANSPORT SER,22431,DL1LG7672,07:17:42,19:00:00
20-08-15,Jai Maa Enterprises,29014,DL1M5176,07:17:46,19:00:00
20-08-15,AASTHA LOGISTICS PVT. LTD.,22501,DL1M5378,07:18:43,19:00:00
20-08-15,SHRI JAI GURUDEV TRANSPORT SER,22321,DL1M5212,07:21:33,19:00:00
20-08-15,Jai Maa Enterprises,29015,DL1M5199,07:22:32,19:00:00
20-08-15,AASTHA LOGISTICS PVT. LTD.,22505,DL1M5379,07:22:59,19:00:00
20-08-15,SHRI JAI GURUDEV TRANSPORT SER,22317,DL1M5169,07:23:04,19:00:00
20-08-15,Maheshwari Tpt Service,22413,DL1LK0164,07:25:07,19:00:00
20-08-15,Vinayak Tanker Service,28015,DL1GB8451,07:25:59,19:00:00
20-08-15,Maheshwari Tpt Service,22411,DL1LG4950,07:26:40,19:00:00
20-08-15,Maheshwari Tpt Service,22426,DL1LG4948,07:28:16,19:00:00
20-08-15,Pooja Tpt Service,22327,DL1LP1178,07:30:01,19:00:00
20-08-15,JEET TRANSPORT COMPANY,22319,DL1LP8571,07:31:38,19:00:00
20-08-15,AASTHA LOGISTICS PVT. LTD.,22502,DL1M5358,07:33:13,19:00:00
20-08-15,JEET TRANSPORT COMPANY,22328,DL1LW0107,07:35:32,19:00:00
20-08-15,Maheshwari Tpt Service,22407,DL1LG6667,07:37:12,19:00:00
20-08-15,JEET TRANSPORT COMPANY,22315,DL1LR2017,07:38:47,19:00:00
