trip date,DCSM NAME,Route,Vehicle No,Activity Time For Weight Out,Activity Time For  Weight In
10-08-15,AASTHA LOGISTICS PVT. LTD.,22509,DL1M5396,00:00:00,19:00:00
10-08-15,MANOJ KUMAR,29003,DL1LV9450,00:34:02,19:00:00
10-08-15,NEO HOSPITALITIES,22332,DL1LM1328,05:06:49,19:00:00
10-08-15,Jai Maa Enterprises,28003,DL1M7218,05:08:30,19:00:00
10-08-15,NEO HOSPITALITIES,22432,DL1LS1927,05:11:06,19:00:00
10-08-15,NEO HOSPITALITIES,22313,DL1LK9908,05:14:07,19:00:00
10-08-15,Durga Tpt Co,28012,DL1M6328,05:18:54,19:00:00
10-08-15,Durga Tpt Co,28009,DL1M6300,05:24:22,19:00:00
10-08-15,NEO HOSPITALITIES,22312,DL1LM0334,05:25:21,19:00:00
10-08-15,Jai Maa Enterprises,29013,DL1M5211,05:30:30,19:00:00
10-08-15,Vansh Enterprises,28002,DL1GC2650,05:36:29,19:00:00
10-08-15,Vinayak Tanker Service,28016,DL1M6348,05:40:42,19:00:00
10-08-15,Vinayak Tanker Service,28015,DL1GB8451,05:47:20,19:00:00
10-08-15,Maheshwari Tpt Service,22301,DL1LS6045,05:48:35,19:00:00
10-08-15,Jai Maa Enterprises,28014,DL1M7288,05:53:21,19:00:00
10-08-15,Vansh Enterprises,28004,DL1GC0167,05:58:40,19:00:00
10-08-15,Vinayak Tanker Service,28011,DL1M6327,06:03:04,19:00:00
10-08-15,Vansh Enterprises,28007,DL1GC2651,06:10:08,19:00:00
10-08-15,Durga Tpt Co,28017,DL1M6971,06:14:26,19:00:00
10-08-15,Durga Tpt Co,28010,DL1M6301,06:17:45,19:00:00
10-08-15,Jai Maa Enterprises,28018,DL1GC1904,06:22:44,19:00:00
10-08-15,Vansh Enterprises,28006,DL1M4074,06:26:25,19:00:00
10-08-15,Jai Maa Enterprises,29014,DL1M5176,06:30:21,19:00:00
10-08-15,Jai Maa Enterprises,29012,DL1M5174,06:33:42,19:00:00
10-08-15,KALKA TRANSPORT SERVICE,22506,DL1M6363,06:38:56,19:00:00
10-08-15,Jai Maa Enterprises,28013,DL1M7290,06:38:59,19:00:00
10-08-15,Vansh Enterprises,28005,DL1M4395,06:43:51,19:00:00
10-08-15,SANJAY SHARMA,22347,DL1LM4484,06:44:06,19:00:00
10-08-15,AASTHA LOGISTICS PVT. LTD.,22504,DL1M5395,06:45:21,19:00:00
10-08-15,SHRI JAI GURUDEV TRANSPORT SER,22326,DL1M5153,06:46:49,19:00:00
10-08-15,Jai Maa Enterprises,29015,DL1M5199,06:47:08,19:00:00
10-08-15,Maheshwari Tpt Service,22405,DL1LG5980,06:48:50,19:00:00
10-08-15,AASTHA LOGISTICS PVT. LTD.,22502,DL1M5358,06:50:16,19:00:00
10-08-15,Jai Maa Enterprises,28019,DL1M7509,06:50:37,19:00:00
10-08-15,Maheshwari Tpt Service,22409,DL1LS7035,06:50:41,19:00:00
10-08-15,Maheshwari Tpt Service,22415,DL1LK0164,06:51:46,19:00:00
10-08-15,Maheshwari Tpt Service,22419,DL1LG4886,06:53:01,19:00:00
10-08-15,KALKA TRANSPORT SERVICE,22507,DL1M6364,06:54:35,19:00:00
10-08-15,Maheshwari Tpt Service,22426,DL1LG4948,06:55:06,19:00:00
10-08-15,Jai Maa Enterprises,29011,DL1M5184,06:55:19,19:00:00
10-08-15,Maheshwari Tpt Service,22410,DL1LG5924,06:57:35,19:00:00
10-08-15,Durga Tpt Co,22508,DL1M4302,06:58:26,19:00:00
10-08-15,Maheshwari Tpt Service,22411,DL1LG4950,06:58:41,19:00:00
10-08-15,Vansh Enterprises,28001,DL1GC2696,06:59:20,19:00:00
10-08-15,Maheshwari Tpt Service,22417,DL1LS6035,07:01:14,19:00:00
