trip date,DCSM NAME,Route,Vehicle No,Activity Time For Weight Out,Activity Time For  Weight In
09-08-15,Pooja Tpt Service,2311,DL1LP1178,19:13:09,07:00:00
09-08-15,SHRI JAI GURUDEV TRANSPORT SER,2312,DL1M5457,18:12:09,07:00:00
09-08-15,NEO HOSPITALITIES,2313,DL1LM1328,19:43:20,07:00:00
09-08-15,NEO HOSPITALITIES,2314,DL1LM0334,20:01:04,07:00:00
09-08-15,SHRI JAI GURUDEV TRANSPORT SER,2315,DL1M5163,19:05:34,07:00:00
09-08-15,SHRI JAI GURUDEV TRANSPORT SER,2316,DL1M5164,19:50:48,07:00:00
09-08-15,SHRI JAI GURUDEV TRANSPORT SER,2317,DL1M5194,19:16:39,07:00:00
09-08-15,JEET TRANSPORT COMPANY,2318,DL1LR2017,19:49:35,07:00:00
09-08-15,SATLUJ GOODS CARRIERS,2319,DL1LP8036,19:22:31,07:00:00
09-08-15,JEET TRANSPORT COMPANY,2320,DL1LP5678,20:35:48,07:00:00
09-08-15,SHRI JAI GURUDEV TRANSPORT SER,2321,DL1M5480,20:33:12,07:00:00
09-08-15,SHRI JAI GURUDEV TRANSPORT SER,2322,DL1M5279,19:37:51,07:00:00
09-08-15,NEO HOSPITALITIES,2323,DL1LK9908,19:18:47,07:00:00
09-08-15,SHRI JAI GURUDEV TRANSPORT SER,2324,DL1M5177,19:20:18,07:00:00
09-08-15,SHRI JAI GURUDEV TRANSPORT SER,2325,DL1M5169,19:10:17,07:00:00
09-08-15,JEET TRANSPORT COMPANY,2326,DL1LP6217,19:02:06,07:00:00
09-08-15,SATLUJ GOODS CARRIERS,2327,DL1LP8647,18:57:51,07:00:00
09-08-15,SATLUJ GOODS CARRIERS,2328,DL1LP8041,18:27:45,07:00:00
09-08-15,SHRI JAI GURUDEV TRANSPORT SER,2329,DL1M5465,19:21:17,07:00:00
09-08-15,SATLUJ GOODS CARRIERS,2330,DL1LP9466,18:52:31,07:00:00
09-08-15,SANJAY SHARMA,2349,DL1LM4016,20:09:09,07:00:00
09-08-15,Pooja Tpt Service,2401,DL1LG6605,19:12:05,07:00:00
09-08-15,Maheshwari Tpt Service,2402,DL1LG5980,20:27:50,07:00:00
09-08-15,Maheshwari Tpt Service,2403,DL1LK0165,20:24:47,07:00:00
09-08-15,Pooja Tpt Service,2404,DL1LG6604,20:02:17,07:00:00
09-08-15,NEO HOSPITALITIES,2405,DL1M4466,19:44:49,07:00:00
09-08-15,SANJAY SHARMA,2406,DL1LP4464,20:44:39,07:00:00
09-08-15,Maheshwari Tpt Service,2407,DL1LK0262,19:08:10,07:00:00
09-08-15,Pooja Tpt Service,2408,DL1LK3892,19:54:09,07:00:00
09-08-15,Maheshwari Tpt Service,2409,DL1LG4948,20:57:43,07:00:00
09-08-15,Maheshwari Tpt Service,2410,DL1LG4950,18:44:11,07:00:00
09-08-15,SHRI JAI GURUDEV TRANSPORT SER,2411,DL1LG7672,18:56:30,07:00:00
