trip date,DCSM NAME,Route,Vehicle No,Activity Time For Weight Out,Activity Time For  Weight In
18-08-15,Maheshwari Tpt Service,22301,DL1LS6045,08:10:46,19:00:00
18-08-15,SATLUJ GOODS CARRIERS,22311,DL1LP8036,07:55:37,19:00:00
18-08-15,NEO HOSPITALITIES,22312,DL1LM0334,07:13:34,19:00:00
18-08-15,NEO HOSPITALITIES,22313,DL1LK9908,07:39:28,19:00:00
18-08-15,SATLUJ GOODS CARRIERS,22314,DL1LP8647,07:33:34,19:00:00
18-08-15,SHRI JAI GURUDEV TRANSPORT SER,22315,DL1M5169,07:37:53,19:00:00
18-08-15,SHRI JAI GURUDEV TRANSPORT SER,22316,DL1M5465,07:37:53,19:00:00
18-08-15,SHRI JAI GURUDEV TRANSPORT SER,22318,DL1M5480,07:24:29,19:00:00
18-08-15,JEET TRANSPORT COMPANY,22319,DL1LP8571,07:17:54,19:00:00
18-08-15,JEET TRANSPORT COMPANY,22320,DL1LP6217,08:00:44,19:00:00
18-08-15,SHRI JAI GURUDEV TRANSPORT SER,22321,DL1M5207,07:10:16,19:00:00
18-08-15,SHRI JAI GURUDEV TRANSPORT SER,22322,DL1M5194,07:10:16,19:00:00
18-08-15,SHRI JAI GURUDEV TRANSPORT SER,22323,DL1M5457,06:54:42,19:00:00
18-08-15,SHRI JAI GURUDEV TRANSPORT SER,22325,DL1M5163,07:34:41,19:00:00
18-08-15,SHRI JAI GURUDEV TRANSPORT SER,22326,DL1M5153,07:25:42,19:00:00
18-08-15,Pooja Tpt Service,22327,DL1LP1811,06:48:53,19:00:00
18-08-15,JEET TRANSPORT COMPANY,22328,DL1LR2017,07:27:23,19:00:00
18-08-15,SATLUJ GOODS CARRIERS,22329,DL1LP8041,08:15:10,19:00:00
18-08-15,SATLUJ GOODS CARRIERS,22330,DL1LP8218,06:39:15,19:00:00
18-08-15,SHRI JAI GURUDEV TRANSPORT SER,22331,DL1M5177,07:16:22,19:00:00
18-08-15,NEO HOSPITALITIES,22332,DL1LM1328,07:53:05,19:00:00
18-08-15,SANJAY SHARMA,22347,DL1LM4484,07:28:45,19:00:00
18-08-15,Maheshwari Tpt Service,22349,DL1LP1495,07:43:33,19:00:00
18-08-15,Vinayak Tanker Service,22350,DL1M5446,07:43:33,19:00:00
18-08-15,Maheshwari Tpt Service,22401,DL1LS5915,07:05:42,19:00:00
18-08-15,NEO HOSPITALITIES,22402,DL1LS1926,07:44:52,19:00:00
18-08-15,Maheshwari Tpt Service,22403,DL1LG6691,07:31:54,19:00:00
18-08-15,Maheshwari Tpt Service,22404,DL1LG5886,08:13:53,19:00:00
18-08-15,Maheshwari Tpt Service,22405,DL1LG5980,07:23:26,19:00:00
18-08-15,Pooja Tpt Service,22406,DL1LG6605,08:08:10,19:00:00
18-08-15,Maheshwari Tpt Service,22407,DL1LG6667,07:07:53,19:00:00
18-08-15,SHRI JAI GURUDEV TRANSPORT SER,22408,DL1LG7673,07:20:47,19:00:00
18-08-15,Maheshwari Tpt Service,22409,DL1LS7035,06:50:20,19:00:00
18-08-15,Maheshwari Tpt Service,22410,DL1LG5924,06:43:26,19:00:00
18-08-15,Maheshwari Tpt Service,22411,DL1LG6583,07:59:16,19:00:00
18-08-15,Pooja Tpt Service,22412,DL1LK3795,07:54:19,19:00:00
18-08-15,Maheshwari Tpt Service,22413,DL1LK0164,06:58:23,19:00:00
18-08-15,Maheshwari Tpt Service,22414,DL1LG5925,06:56:26,19:00:00
18-08-15,Maheshwari Tpt Service,22415,DL1LG6692,06:51:44,19:00:00
18-08-15,NEO HOSPITALITIES,22416,DL1LS7038,07:46:26,19:00:00
18-08-15,Maheshwari Tpt Service,22417,DL1LS6035,06:46:32,19:00:00
18-08-15,SANJAY SHARMA,22418,DL1LP5913,07:56:38,19:00:00
18-08-15,Maheshwari Tpt Service,22419,DL1LG4886,06:42:12,19:00:00
18-08-15,Maheshwari Tpt Service,22420,DL1LG5926,07:41:11,19:00:00
18-08-15,SHRI JAI GURUDEV TRANSPORT SER,22421,DL1LK0303,06:53:10,19:00:00
18-08-15,NEO HOSPITALITIES,22422,DL1M4351,07:36:30,19:00:00
18-08-15,NEO HOSPITALITIES,22423,DL1M4482,07:57:36,19:00:00
18-08-15,Maheshwari Tpt Service,22424,DL1LK0165,06:41:15,19:00:00
18-08-15,NEO HOSPITALITIES,22425,DL1LK5866,07:03:29,19:00:00
18-08-15,Maheshwari Tpt Service,22426,DL1LG4948,07:12:05,19:00:00
