trip date,DCSM NAME,Route,Vehicle No,Activity Time For Weight Out,Activity Time For  Weight In
17-08-15,Vinayak Tanker Service,22350,DL1M5446,00:00:00,19:00:00
17-08-15,Maheshwari Tpt Service,22420,DL1LG5886,00:00:00,19:00:00
17-08-15,AASTHA LOGISTICS PVT. LTD.,22509,DL1M5396,00:00:00,19:00:00
17-08-15,Jai Maa Enterprises,28003,DL1M4280,05:11:02,19:00:00
17-08-15,Vansh Enterprises,28002,DL1GC2650,05:16:50,19:00:00
17-08-15,Vansh Enterprises,28004,DL1M4395,05:22:22,19:00:00
17-08-15,Durga Tpt Co,28016,DL1M6948,05:26:38,19:00:00
17-08-15,Jai Maa Enterprises,29015,DL1M5199,05:32:02,19:00:00
17-08-15,Jai Maa Enterprises,29013,DL1M5211,05:37:30,19:00:00
17-08-15,Vinayak Tanker Service,28015,DL1GB8451,05:43:01,19:00:00
17-08-15,Jai Maa Enterprises,28014,DL1M7288,05:48:37,19:00:00
17-08-15,Jai Maa Enterprises,28013,DL1M7290,05:53:53,19:00:00
17-08-15,Jai Maa Enterprises,29014,DL1M5176,06:02:11,19:00:00
17-08-15,Vinayak Tanker Service,28017,DL1M7092,06:07:23,19:00:00
17-08-15,Vansh Enterprises,28008,DL1GC0167,06:17:17,19:00:00
17-08-15,Vansh Enterprises,28007,DL1GC0179,06:23:52,19:00:00
17-08-15,Durga Tpt Co,28012,DL1M6301,06:27:53,19:00:00
17-08-15,Maheshwari Tpt Service,22410,DL1LG5924,06:37:39,19:00:00
17-08-15,Jai Maa Enterprises,29012,DL1M5174,06:38:28,19:00:00
17-08-15,Maheshwari Tpt Service,22419,DL1LG4886,06:42:20,19:00:00
17-08-15,Vinayak Tanker Service,28011,DL1M6348,06:44:14,19:00:00
17-08-15,Maheshwari Tpt Service,22401,DL1LS5915,06:48:18,19:00:00
17-08-15,Durga Tpt Co,28009,DL1M6300,06:49:38,19:00:00
17-08-15,Pooja Tpt Service,22327,DL1LP1178,06:51:59,19:00:00
17-08-15,Maheshwari Tpt Service,22414,DL1LG5925,06:53:32,19:00:00
17-08-15,Jai Maa Enterprises,28019,DL1M7509,06:53:51,19:00:00
17-08-15,KALKA TRANSPORT SERVICE,22506,DL1M6365,06:54:17,19:00:00
17-08-15,Maheshwari Tpt Service,22417,DL1LS6035,06:54:37,19:00:00
17-08-15,SATLUJ GOODS CARRIERS,22330,DL1LP8218,06:55:42,19:00:00
17-08-15,AASTHA LOGISTICS PVT. LTD.,22501,DL1M5378,06:57:06,19:00:00
17-08-15,Vansh Enterprises,28005,DL1M4074,06:58:06,19:00:00
17-08-15,SHRI JAI GURUDEV TRANSPORT SER,22421,DL1LK0303,06:58:33,19:00:00
17-08-15,Durga Tpt Co,22508,DL1M4302,06:59:42,19:00:00
17-08-15,SANJAY SHARMA,22427,DL1LP5914,06:59:52,19:00:00
17-08-15,SHRI JAI GURUDEV TRANSPORT SER,22321,DL1M5207,07:01:12,19:00:00
17-08-15,Maheshwari Tpt Service,22426,DL1LG4948,07:02:45,19:00:00
17-08-15,SHRI JAI GURUDEV TRANSPORT SER,22317,DL1LG4590,07:04:29,19:00:00
17-08-15,MANOJ KUMAR,29001,DL1LR5067,07:05:06,19:00:00
17-08-15,KALKA TRANSPORT SERVICE,22507,DL1M6364,07:06:13,19:00:00
17-08-15,NEO HOSPITALITIES,22432,DL1LS1927,07:06:34,19:00:00
17-08-15,Maheshwari Tpt Service,22407,DL1LG6667,07:07:42,19:00:00
17-08-15,Vansh Enterprises,28001,DL1GC2696,07:09:04,19:00:00
17-08-15,Maheshwari Tpt Service,22413,DL1LK0164,07:10:10,19:00:00
17-08-15,SANJAY SHARMA,22347,DL1LM4016,07:11:32,19:00:00
17-08-15,MANOJ KUMAR,29002,DL1LP6173,07:12:19,19:00:00
17-08-15,SHRI JAI GURUDEV TRANSPORT SER,22431,DL1LK2805,07:13:41,19:00:00
17-08-15,SHRI JAI GURUDEV TRANSPORT SER,22323,DL1M5457,07:15:37,19:00:00
17-08-15,SATLUJ GOODS CARRIERS,22311,DL1LP9466,07:16:42,19:00:00
17-08-15,AASTHA LOGISTICS PVT. LTD.,22505,DL1M5379,07:17:09,19:00:00
17-08-15,Jai Maa Enterprises,28018,DL1GC1904,07:17:19,19:00:00
17-08-15,SHRI JAI GURUDEV TRANSPORT SER,22318,DL1M5480,07:17:50,19:00:00
17-08-15,SHRI JAI GURUDEV TRANSPORT SER,22331,DL1M5177,07:20:14,19:00:00
17-08-15,Jai Maa Enterprises,29011,DL1M5184,07:20:15,19:00:00
17-08-15,JEET TRANSPORT COMPANY,22328,DL1LR2017,07:21:36,19:00:00
17-08-15,SHRI JAI GURUDEV TRANSPORT SER,22324,DL1M5164,07:22:44,19:00:00
17-08-15,AASTHA LOGISTICS PVT. LTD.,22503,DL1M5394,07:23:14,19:00:00
17-08-15,Maheshwari Tpt Service,22409,DL1LS7035,07:24:35,19:00:00
17-08-15,Durga Tpt Co,28010,DL1M4303,07:24:50,19:00:00
17-08-15,JEET TRANSPORT COMPANY,22319,DL1LP8571,07:26:40,19:00:00
17-08-15,NEO HOSPITALITIES,22313,DL1LK9908,07:28:47,19:00:00
17-08-15,JEET TRANSPORT COMPANY,22320,DL1LP6217,07:30:27,19:00:00
17-08-15,NEO HOSPITALITIES,22425,DL1LK5866,07:32:02,19:00:00
17-08-15,SHRI JAI GURUDEV TRANSPORT SER,22322,DL1M5194,07:33:23,19:00:00
17-08-15,NEO HOSPITALITIES,22416,DL1LS7038,07:35:15,19:00:00
17-08-15,SHRI JAI GURUDEV TRANSPORT SER,22325,DL1M5279,07:36:54,19:00:00
17-08-15,AASTHA LOGISTICS PVT. LTD.,22502,DL1M5358,07:37:27,19:00:00
17-08-15,Pooja Tpt Service,22430,DL1LK3892,07:38:25,19:00:00
17-08-15,Maheshwari Tpt Service,22403,DL1LG6691,07:39:41,19:00:00
17-08-15,SHRI JAI GURUDEV TRANSPORT SER,22408,DL1LG7673,07:41:11,19:00:00
17-08-15,NEO HOSPITALITIES,22312,DL1LM0334,07:42:30,19:00:00
17-08-15,SATLUJ GOODS CARRIERS,22314,DL1LP8036,07:43:45,19:00:00
17-08-15,AASTHA LOGISTICS PVT. LTD.,22504,DL1M5395,07:43:50,19:00:00
17-08-15,NEO HOSPITALITIES,22423,DL1LS1926,07:44:49,19:00:00
17-08-15,SATLUJ GOODS CARRIERS,22329,DL1LP8041,07:46:13,19:00:00
17-08-15,Vansh Enterprises,28006,DL1GC2637,07:46:57,19:00:00
17-08-15,SANJAY SHARMA,22428,DL1LP4464,07:47:49,19:00:00
17-08-15,Maheshwari Tpt Service,22349,DL1LP1495,07:48:57,19:00:00
17-08-15,SANJAY SHARMA,22429,DL1LP6568,07:49:59,19:00:00
17-08-15,Maheshwari Tpt Service,22411,DL1LG6583,07:50:58,19:00:00
17-08-15,SHRI JAI GURUDEV TRANSPORT SER,22315,DL1LG7672,07:53:49,19:00:00
17-08-15,NEO HOSPITALITIES,22332,DL1LM1328,07:55:18,19:00:00
17-08-15,Maheshwari Tpt Service,22415,DL1LG6692,07:56:37,19:00:00
17-08-15,Pooja Tpt Service,22412,DL1LK3795,07:57:59,19:00:00
17-08-15,Maheshwari Tpt Service,22424,DL1LK0165,07:59:20,19:00:00
17-08-15,Maheshwari Tpt Service,22404,DL1LK0262,08:00:25,19:00:00
17-08-15,NEO HOSPITALITIES,22422,DL1M4351,08:04:55,19:00:00
17-08-15,SHRI JAI GURUDEV TRANSPORT SER,22326,DL1M5153,08:06:21,19:00:00
17-08-15,Maheshwari Tpt Service,22405,DL1LG5980,08:08:11,19:00:00
17-08-15,Pooja Tpt Service,22406,DL1LG6605,08:10:24,19:00:00
17-08-15,NEO HOSPITALITIES,22402,DL1M4482,08:12:31,19:00:00
17-08-15,SANJAY SHARMA,22418,DL1LP5913,08:14:26,19:00:00
17-08-15,Pooja Tpt Service,22433,DL1LG7048,08:15:36,19:00:00
17-08-15,SHRI JAI GURUDEV TRANSPORT SER,22316,DL1M5465,08:20:19,19:00:00
17-08-15,Maheshwari Tpt Service,22301,DL1LS6045,08:22:04,19:00:00
17-08-15,MANOJ KUMAR,29003,DL1LV9450,23:17:54,19:00:00
