trip date,DCSM NAME,Route,Vehicle No,Activity Time For Weight Out,Activity Time For  Weight In
19-08-15,Maheshwari Tpt Service,2409,DL1LG4948,20:25:41,07:00:00
19-08-15,Maheshwari Tpt Service,2431,DL1LG5926,20:25:41,07:00:00
19-08-15,AASTHA LOGISTICS PVT. LTD.,2509,DL1M5394,20:25:41,07:00:00
19-08-15,Vansh Enterprises,2803,DL1GC2696,16:58:17,07:00:00
19-08-15,Vansh Enterprises,2804,DL1GC2650,17:16:06,07:00:00
19-08-15,Vansh Enterprises,2807,DL1GC0167,17:22:24,07:00:00
19-08-15,KALKA TRANSPORT SERVICE,2503,DL1M6365,17:30:14,07:00:00
19-08-15,Jai Maa Enterprises,2914,DL1M5184,17:33:58,07:00:00
19-08-15,AASTHA LOGISTICS PVT. LTD.,2506,DL1M5396,17:37:13,07:00:00
19-08-15,Durga Tpt Co,2815,DL1M6301,17:40:25,07:00:00
19-08-15,Vansh Enterprises,2801,DL1GC2637,17:46:08,07:00:00
19-08-15,Vansh Enterprises,2802,DL1M4074,17:55:44,07:00:00
19-08-15,Durga Tpt Co,2811,DL1M6300,18:00:35,07:00:00
19-08-15,Jai Maa Enterprises,2912,DL1M5211,18:03:33,07:00:00
19-08-15,KALKA TRANSPORT SERVICE,2505,DL1M6363,18:04:37,07:00:00
19-08-15,Jai Maa Enterprises,2816,DL1GC1904,18:08:00,07:00:00
19-08-15,Jai Maa Enterprises,2819,DL1M4280,18:12:19,07:00:00
19-08-15,MANOJ KUMAR,2902,DL1LP6172,18:18:03,07:00:00
19-08-15,SANJAY SHARMA,2424,DL1LP5914,18:19:18,07:00:00
19-08-15,Jai Maa Enterprises,2913,DL1M5185,18:22:10,07:00:00
19-08-15,MANOJ KUMAR,2901,DL1LR5067,18:25:06,07:00:00
19-08-15,Pooja Tpt Service,2415,DL1LG7046,18:28:38,07:00:00
19-08-15,Maheshwari Tpt Service,2420,DL1LS6035,18:29:51,07:00:00
19-08-15,SHRI JAI GURUDEV TRANSPORT SER,2411,DL1LG7672,18:30:59,07:00:00
19-08-15,JEET TRANSPORT COMPANY,2326,DL1LP6217,18:32:01,07:00:00
19-08-15,Jai Maa Enterprises,2812,DL1M7509,18:32:13,07:00:00
19-08-15,JEET TRANSPORT COMPANY,2318,DL1LR2017,18:34:27,07:00:00
19-08-15,Durga Tpt Co,2814,DL1M6971,18:36:27,07:00:00
19-08-15,AASTHA LOGISTICS PVT. LTD.,2502,DL1M5378,18:37:54,07:00:00
19-08-15,SATLUJ GOODS CARRIERS,2328,DL1LP8041,18:38:13,07:00:00
19-08-15,Jai Maa Enterprises,2915,DL1M5199,18:39:27,07:00:00
19-08-15,SANJAY SHARMA,2349,DL1LM4016,18:42:10,07:00:00
19-08-15,Vinayak Tanker Service,2809,DL1GB8451,18:44:42,07:00:00
19-08-15,NEO HOSPITALITIES,2433,DL1LK5866,18:46:31,07:00:00
19-08-15,SANJAY SHARMA,2428,DL1LP6568,18:47:45,07:00:00
19-08-15,AASTHA LOGISTICS PVT. LTD.,2501,DL1M5379,18:48:24,07:00:00
19-08-15,Maheshwari Tpt Service,2410,DL1LG4950,18:50:37,07:00:00
19-08-15,SHRI JAI GURUDEV TRANSPORT SER,2312,DL1M5457,18:54:34,07:00:00
19-08-15,AASTHA LOGISTICS PVT. LTD.,2504,DL1M5395,18:57:51,07:00:00
19-08-15,Maheshwari Tpt Service,2430,DL1LG5886,18:58:36,07:00:00
19-08-15,Pooja Tpt Service,2404,DL1LG6604,19:00:39,07:00:00
19-08-15,Maheshwari Tpt Service,2417,DL1LK0164,19:01:50,07:00:00
19-08-15,SHRI JAI GURUDEV TRANSPORT SER,2432,DL1LG7673,19:03:26,07:00:00
19-08-15,SATLUJ GOODS CARRIERS,2327,DL1LP8647,19:04:57,07:00:00
19-08-15,Pooja Tpt Service,2414,DL1LG7048,19:06:16,07:00:00
