trip date,DCSM NAME,Route,Vehicle No,Activity Time For Weight Out,Activity Time For  Weight In
07-08-15,SATLUJ GOODS CARRIERS,22311,DL1LP9466,07:38:12,19:00:00
07-08-15,NEO HOSPITALITIES,22312,DL1LM0334,07:04:23,19:00:00
07-08-15,NEO HOSPITALITIES,22313,DL1LK9908,07:26:27,19:00:00
07-08-15,SATLUJ GOODS CARRIERS,22314,DL1LP8036,07:53:36,19:00:00
07-08-15,SHRI JAI GURUDEV TRANSPORT SER,22315,DL1M5169,07:47:50,19:00:00
07-08-15,SHRI JAI GURUDEV TRANSPORT SER,22316,DL1M5465,07:47:50,19:00:00
07-08-15,SHRI JAI GURUDEV TRANSPORT SER,22318,DL1M5480,07:31:57,19:00:00
07-08-15,JEET TRANSPORT COMPANY,22319,DL1LP8571,07:10:40,19:00:00
07-08-15,JEET TRANSPORT COMPANY,22320,DL1LP6217,07:51:22,19:00:00
07-08-15,SHRI JAI GURUDEV TRANSPORT SER,22322,DL1M5194,08:25:29,19:00:00
07-08-15,SHRI JAI GURUDEV TRANSPORT SER,22323,DL1M5457,07:28:42,19:00:00
07-08-15,SHRI JAI GURUDEV TRANSPORT SER,22324,DL1M5164,07:52:20,19:00:00
07-08-15,SHRI JAI GURUDEV TRANSPORT SER,22325,DL1M5279,07:52:20,19:00:00
07-08-15,SHRI JAI GURUDEV TRANSPORT SER,22326,DL1M5153,06:51:33,19:00:00
07-08-15,Pooja Tpt Service,22327,DL1LP1178,06:47:29,19:00:00
07-08-15,JEET TRANSPORT COMPANY,22328,DL1LR2017,07:14:11,19:00:00
07-08-15,SATLUJ GOODS CARRIERS,22329,DL1LP8041,06:59:29,19:00:00
07-08-15,SATLUJ GOODS CARRIERS,22330,DL1LP8647,07:02:48,19:00:00
07-08-15,SHRI JAI GURUDEV TRANSPORT SER,22331,DL1M5177,07:41:59,19:00:00
07-08-15,NEO HOSPITALITIES,22332,DL1LM1328,07:34:02,19:00:00
07-08-15,SANJAY SHARMA,22347,DL1LM4016,07:00:19,19:00:00
07-08-15,Maheshwari Tpt Service,22349,DL1LP1495,08:04:23,19:00:00
07-08-15,Vinayak Tanker Service,22350,DL1M5446,08:04:23,19:00:00
07-08-15,Maheshwari Tpt Service,22401,DL1LS5915,07:19:26,19:00:00
07-08-15,NEO HOSPITALITIES,22402,DL1LS1926,08:28:17,19:00:00
07-08-15,Maheshwari Tpt Service,22403,DL1LG6691,07:49:08,19:00:00
07-08-15,Maheshwari Tpt Service,22404,DL1LK0262,08:00:46,19:00:00
07-08-15,Maheshwari Tpt Service,22405,DL1LG5980,07:30:53,19:00:00
07-08-15,Pooja Tpt Service,22406,DL1LG6605,07:36:54,19:00:00
07-08-15,Maheshwari Tpt Service,22407,DL1LG6667,07:17:48,19:00:00
07-08-15,SHRI JAI GURUDEV TRANSPORT SER,22408,DL1LG7673,07:45:06,19:00:00
